Country,11-04-21
ALA Aland Islands,57144
Afghanistan,128155
Albania,118378
Algeria,12497
American Samoa,23331
Andorra,1197
Angola,2517300
Anguilla,202167
Antarctica,29405
Antigua and Barbuda,574755
Argentina,283579
Armenia,9364
Aruba,155402
Australia,678937
Austria,3719
Azerbaijan,334863
Bahamas,922487
Bahrain,12485
Bangladesh,7515
Barbados,910
Belarus,281570
Belgium,181927
Belize,42674
Benin,13445006
Bermuda,219
Bhutan,371531
Bolivia,12956
Bosnia and Herzegovina,3119
Botswana,4081
Bouvet Island,61731
Brazil,900307
British Indian Ocean Territory,18629
British Virgin Islands,5491
Brunei Darussalam,4625
Bulgaria,1068522
Burkina Faso,102027
Burundi,2518715
Cambodia,3789
Cameroon,10084
Canada,28542
Cape Verde,222544
Cayman Islands,290899
Central African Republic,85572
Chad,51035
Chile,1577972
China,45089
Christmas Island,237793
Cocos (Keeling) Islands,9722
Colombia,165
Comoros,257186
Congo (Brazzaville),344877
Congo (Kinshasa),209677
Cook Islands,65491
Costa Rica,7219
Croatia,3447
Cuba,113736
Cyprus,227255
Czech Republic,68
Côte d'Ivoire,81707
Denmark,5001685
Djibouti,20636
Dominica,5602
Dominican Republic,287689
Ecuador,3009452
Egypt,91260
El Salvador,293763
Equatorial Guinea,155
Eritrea,202640
Estonia,20807
Ethiopia,3678
Falkland Islands (Malvinas),11044
Faroe Islands,12840
Fiji,27
Finland,195525
France,713868
French Guiana,6258
French Polynesia,13358805
French Southern Territories,1562868
Gabon,2049078
Gambia,918155
Georgia,240643
Germany,835813
Ghana,3754077
Gibraltar,42119
Greece,503537
Greenland,662395
Grenada,320881
Guadeloupe,145184
Guam,109559
Guatemala,245704
Guernsey,90019
Guinea,49
Guinea-Bissau,107240
Guyana,494633
Haiti,10707
Heard and Mcdonald Islands,2042
Holy See (Vatican City State),166888
Honduras,2738
"Hong Kong, SAR China",225308
Hungary,63467
Iceland,141157
India,27548
Indonesia,33805
"Iran, Islamic Republic of",359117
Iraq,25524
Ireland,11705
Isle of Man,29548
Israel,4
Italy,18012
Jamaica,1190
Japan,2278420
Jersey,1
Jordan,240886
Kazakhstan,2374
Kenya,14183
Kiribati,94035
Korea (North),501688
Korea (South),68578
Kuwait,142572
Kyrgyzstan,45323
Lao PDR,279725
Latvia,1342447
Lebanon,2574
Lesotho,6727
Liberia,5072
Libya,163736
Liechtenstein,102974
Lithuania,168005
Luxembourg,721018
"Macao, SAR China",265897
"Macedonia, Republic of",358377
Madagascar,8342
Malawi,233745
Malaysia,1639767
Maldives,853209
Mali,2552898
Malta,826928
Marshall Islands,189064
Martinique,95886
Mauritania,1002865
Mauritius,4580633
Mayotte,23343
Mexico,44
"Micronesia, Federated States of",4347
Moldova,1790
Monaco,3
Mongolia,4956
Montenegro,2263
Montserrat,397636
Morocco,39364
Mozambique,639476
Myanmar,4395
Namibia,3995
Nauru,60633
Nepal,370473
Netherlands,225950
Netherlands Antilles,19
New Caledonia,12271
New Zealand,1557527
Nicaragua,10359
Niger,3347512
Nigeria,94848
Niue,31833
Norfolk Island,9278
Northern Mariana Islands,17373
Norway,857401
Oman,617543
Pakistan,20118
Palau,1056
Palestinian Territory,13308
Panama,509
Papua New Guinea,31658
Paraguay,947
Peru,11947
Philippines,8382
Pitcairn,270297
Poland,3798333
Portugal,41113
Puerto Rico,1893192
Qatar,481937
Republic of Kosovo,4382880
Romania,31151495
Russian Federation,141380
Rwanda,84724
Réunion,3
Saint Helena,173786
Saint Kitts and Nevis,2692
Saint Lucia,5276
Saint Pierre and Miquelon,89918
Saint Vincent and Grenadines,37273
Saint-Barthélemy,
Saint-Martin (French part),
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Islands,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen Islands,
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic (Syria),
"Taiwan, Republic of China",
Tajikistan,
"Tanzania, United Republic of",
Thailand,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
US Minor Outlying Islands,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States of America,
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela (Bolivarian Republic),
Viet Nam,
"Virgin Islands, US",
Wallis and Futuna Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
