Country,11-04-21
ALA Aland Islands,2521
Afghanistan,2310
Albania,3126
Algeria,120
American Samoa,550
Andorra,30
Angola,57647
Anguilla,3720
Antarctica,909
Antigua and Barbuda,9662
Argentina,3879
Armenia,189
Aruba,554
Australia,9661
Austria,44
Azerbaijan,2344
Bahamas,23428
Bahrain,318
Bangladesh,93
Barbados,1
Belarus,12442
Belgium,7298
Belize,636
Benin,351334
Bermuda,3
Bhutan,14351
Bolivia,152
Bosnia and Herzegovina,6
Botswana,26
Bouvet Island,919
Brazil,21257
British Indian Ocean Territory,177
British Virgin Islands,74
Brunei Darussalam,167
Bulgaria,24213
Burkina Faso,4843
Burundi,65608
Cambodia,146
Cameroon,137
Canada,745
Cape Verde,3018
Cayman Islands,6269
Central African Republic,453
Chad,272
Chile,27734
China,260
Christmas Island,2440
Cocos (Keeling) Islands,94
Colombia,0
Comoros,3385
Congo (Brazzaville),17275
Congo (Kinshasa),12405
Cook Islands,2048
Costa Rica,106
Croatia,10
Cuba,1020
Cyprus,3146
Czech Republic,2
Côte d'Ivoire,868
Denmark,98213
Djibouti,127
Dominica,168
Dominican Republic,3869
Ecuador,78402
Egypt,754
El Salvador,8833
Equatorial Guinea,1
Eritrea,7001
Estonia,133
Ethiopia,66
Falkland Islands (Malvinas),252
Faroe Islands,252
Fiji,0
Finland,4770
France,23211
French Guiana,29
French Polynesia,169275
French Southern Territories,42443
Gabon,64232
Gambia,14678
Georgia,4783
Germany,6292
Ghana,113923
Gibraltar,669
Greece,9352
Greenland,7708
Grenada,3267
Guadeloupe,2330
Guam,1768
Guatemala,1403
Guernsey,1519
Guinea,0
Guinea-Bissau,1986
Guyana,6630
Haiti,315
Heard and Mcdonald Islands,85
Holy See (Vatican City State),2807
Honduras,56
"Hong Kong, SAR China",3671
Hungary,763
Iceland,4182
India,493
Indonesia,1127
"Iran, Islamic Republic of",1321
Iraq,67
Ireland,405
Isle of Man,402
Israel,0
Italy,450
Jamaica,12
Japan,209212
Jersey,0
Jordan,5369
Kazakhstan,31
Kenya,20
Kiribati,1365
Korea (North),8891
Korea (South),789
Kuwait,3206
Kyrgyzstan,564
Lao PDR,3039
Latvia,16754
Lebanon,26
Lesotho,179
Liberia,188
Libya,2060
Liechtenstein,684
Lithuania,1747
Luxembourg,15443
"Macao, SAR China",2838
"Macedonia, Republic of",6159
Madagascar,68
Malawi,4749
Malaysia,54669
Maldives,14744
Mali,58176
Malta,16910
Marshall Islands,331
Martinique,1968
Mauritania,25006
Mauritius,100949
Mayotte,314
Mexico,0
"Micronesia, Federated States of",64
Moldova,10
Monaco,0
Mongolia,85
Montenegro,35
Montserrat,6747
Morocco,1077
Mozambique,5700
Myanmar,24
Namibia,79
Nauru,30
Nepal,10487
Netherlands,4112
Netherlands Antilles,0
New Caledonia,605
New Zealand,53256
Nicaragua,114
Niger,76328
Nigeria,595
Niue,2063
Norfolk Island,179
Northern Mariana Islands,669
Norway,13621
Oman,10452
Pakistan,1368
Palau,10
Palestinian Territory,90
Panama,21
Papua New Guinea,97
Paraguay,1
Peru,116
Philippines,145
Pitcairn,9235
Poland,33702
Portugal,337
Puerto Rico,38479
Qatar,1529
Republic of Kosovo,127324
Romania,561783
Russian Federation,1414
Rwanda,634
Réunion,0
Saint Helena,1759
Saint Kitts and Nevis,35
Saint Lucia,1031
Saint Pierre and Miquelon,1226
Saint Vincent and Grenadines,1538
Saint-Barthélemy,
Saint-Martin (French part),
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Islands,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen Islands,
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic (Syria),
"Taiwan, Republic of China",
Tajikistan,
"Tanzania, United Republic of",
Thailand,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
US Minor Outlying Islands,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States of America,
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela (Bolivarian Republic),
Viet Nam,
"Virgin Islands, US",
Wallis and Futuna Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
