,Title
0,Walter Forbes
1,All for Greed
2,Love the Avenger
3,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century"
4,"[The World in which I live, and my place in it"
5,"[The World in which I live, and my place in it"
6,Lagonells
7,"The Coming of Spring, and other poems"
8,"A Warning to the inhabitants of England, and London in particular "
9,A Satyr against Vertue
10,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry "
11,Erindringer som Bidrag til Norges Historie fra 1800-1815
12,Gli Studi storici in terra d'Otranto 
13,De Aardbol
14,Cronache Savonesi dal 1500 al 1570 
15,See-Saw; a novel 
16,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R"
17,[With eleven maps
18,"[Historia geográfica, civil y politica de la Isla de S"
19,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it "
20,Peace: a lyric poem
21,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts"
22,[Abdollatiphi Historiæ Ægypti compendium
23,The Comic History of England 
24,[The comic history of England 
25,[The Comic History of Rome 
26,Signa: opera in tre atti [founded on the novel entitled: “Signa” by Ouida] 
27,"The Venetian Outlaw, a drama in three acts "
28,Description of the Coast between Aberdeen and Leith
29,Aus Kaukasischen Ländern
30,Selections from the Municipal Chronicles of the Borough of Abingdon from A
31,"The Plains of Abraham, 1759, a spot sacred to the memory of Wolfe and Montcalm"
32,The Witwatersrand Gold Mines
33,The New Era of the Goldmining Industry in the Witwatersrand 
34,Tirol und Vorarlberg 
35,"A Question of Holy Writ, suggested by a lecture on Buddha and Buddhism, delivered before the Literary Society of Exeter, by Lieut"
36,A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh 
37,A Hand-book and History of Sidmouth from the Triassic period up to “Now
38,"The Historie of Eald Street, now called Old Street, with memoranda of the Parish of St"
39,First (-Third) Annual Report on the Geology of the State of Vermont
40,The New Egypt
41,Tiberius: a drama 
42,"Memoirs of the Life and Doctrines of the late John Hunter, Esq"
43,"The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 "
44,"[The Narrative of Robert Adams, a sailor, who was wrecked on the Western Coast of Africa, in the year 1810 "
45,East End Idylls 
46,Acta historiam regis Chistierni II
47,"[The Works of the late Right Honourable Joseph Addison, Esq"
