,Authors	Contributors,Author,Contribututors
0,,A. A.,"FORBES, Walter."
1,,"A., A. A.","BLAZE DE BURY, Marie Pauline Rose "
2,,"A., A. A.","BLAZE DE BURY, Marie Pauline Rose "
3,,"A., E. S.","Appleyard, Ernest Silvanus."
4,,"A., E. S.","BROOME, John Henry."
5,,"A., E. S.","BROOME, John Henry."
6,,"A., F. E.","ASHLEY, Florence Emily."
7,,"A., J.","ANDREWS, J. "
8,,Remaʿ.,"ADAMS, Mary."
9,,"A., T.","OLDHAM, John."
10,,,"CARTE, Samuel."
11,,"AALL, Jacob.","AALL, J. C."
12,,"AAR, Ermanno ","S., L. G. D."
13,,,"WITKAMP, Pieter Harme."
14,,"ABATE, Giovanni Agostino.","ASSERETO, Giovanni."
15,,"ABATI, Francesco.","READE, William Winwood."
16,,"ABBADIE, Antoine Thompson d'.","RADAU, Rodolphe."
17,,"ABBADIE, Antoine Thompson d'.","RADAU, Rodolphe."
18,,"ABBAD Y LASIERRA, Agustín Íñigo ","ACOSTA Y CALBO, José Julian de."
19,,"ABBATT, William.","ANDRÉ, John "
20,,"ABBOTT, Thomas Eastoe.","WRANGHAM, Francis."
21,,,"BARHAM, Thomas Foster "
22,,,"WHITE, Joseph "
23,,"A'BECKETT, Gilbert Abbott.","LEECH, John "
24,,"A'BECKETT, Gilbert Abbott.","LEECH, John "
25,,"A'BECKETT, Gilbert Abbott.","LEECH, John "
26,,"A'BECKETT, Gilbert Arthur ","MAZZUCATO, Giovanni Andrea."
27,,,"ELLISTON, Robert William."
28,,,"DUNCAN, William "
29,,"ABICH, Wilhelm Hermann.","ABICH, Adelaïde."
30,,,"CHALLENOR, Bromley."
31,,,"BROTANEK, Rudolf."
32,,"ABRAHAM, Félix ","SIMONSEN, H. C."
33,,"ABRAHAM, Félix ","SIMONSEN, H. C."
34,,"ACHLEITNER, Arthur ","UBL, E."
35,,ACKLAND ,"PLIMSOLL, Joseph."
36,,"ADAIR, Frederick Edward Shafto.","GODFREY, Stuart Hill."
37,,,"HUTCHINSON, Peter Orlando."
38,,,KING 
39,,,"ADAMS, Charles Baker."
40,,"ADAMS, Francis William Lauderdale.","LONGSDON, J. W."
41,,"ADAMS, Francis William Lauderdale.","ROSSETTI, William Michael."
42,,"ADAMS, Joseph ","HUNTER, John "
43,,"Adams, Robert ","COCK, Simon."
44,,"ADAMS, Robert ","COCK, Simon."
45,,"Adcock, Arthur St. John","ADDERLEY, James Granville "
46,,"ADDE, Petrus Adolphus.","GEIJER, Erik Gustaf."
47,,"ADDISON, Joseph ","TICKELL, Thomas."
48,,"Addison, Joseph","Gilfillan, George"
49,,"ADDISON, Joseph ","A., J. P. "
50,,"ADDISON, Joseph ","MURPHY, Arthur."
51,,"ADELUNG, Friedrich von.","MAYER, Augustin "
52,,"ADLER, Carl ","Długosz, Jan."
53,,,"PEPYS, Charlotte Maria "
54,,,"EDWARDS, Mary Ellen."
55,,,"Hurdis, James"
56,,,"WILLIAMS, Samuel "
57,,"ADVIELLE, Victor.","CHARAIRE, Michel."
58,,,"GIBBS, Vicary "
59,,"AEBY, Christoph.","FELLENBERG, Edmund von."
60,,Aeschylus.,"BENNETT, William Cox."
61,,,"WUTTKE, Heinrich."
62,,,"MARSTON, Annie Wright."
63,,,"COOLEY, William Desborough."
64,,"Agardh, C. A. (Carl Adolf)","LJUNGBERG, Carl Edvard."
65,,"Agardh, C. A. (Carl Adolf)","DAHLMAN, Carl Edvard."
66,,"Agassiz, Louis","A., E. C."
67,,"Agassiz, Louis","Agassiz, Elizabeth Cabot Cary"
68,,,"Craik, Dinah Maria Mulock"
69,,,"CRANE, Walter."
70,,,"MONTGOMERY, Robert "
71,,,"MONTGOMERY, Robert "
72,,,MEDINA
73,,,"HOME, John "
74,,"AGNEW, John Holmes.","SARTAIN, John."
75,,,"GROWSE, Frederic Salmon."
76,,,"MEDWIN, Thomas."
77,,"AHNFELT, Arvid.","MARTENS, Klaus Heinrich Friedrich."
78,,"AIKIN, afterwards BARBAULD, Anna Laetitia.","Aikin, Lucy"
79,,"Goldsmith, Oliver","AIKIN, John "
80,,"AIKIN, John ","EVANS, Robert Harding."
81,,"AINALOV, Dmitry Vlas'evich ","REDN, Egor Kuz'mich."
82,,"AINSLEIGH, Robert.","Braddon, M. E. (Mary Elizabeth)"
83,,"AINSLIE, Hew.","LATTO, Thomas C."
84,,,"AINSWORTH, William Francis."
85,,"AINSWORTH, William Francis.","Doré, Gustave"
86,,"Ainsworth, William Harrison","RIMBAULT, J. H."
87,,"Ainsworth, William Harrison","Gilbert, John "
88,,"Ainsworth, William Harrison","Gilbert, John "
89,,"Ainsworth, William Harrison","BROWNE, Hablot Knight."
90,,"Ainsworth, William Harrison","BROWNE, Hablot Knight."
91,,"Ainsworth, William Harrison","Gilbert, John "
92,,"Ainsworth, William Harrison","BROWNE, Hablot Knight."
93,,"Ajalbert, Jean","MONTADER, Alfred "
94,,,"PLIMSOLL, Samuel."
95,,"Akenside, Mark","Gilfillan, George"
96,,"AKENSIDE, Mark.","MATHIAS, Thomas James."
97,,"AKERMAN, Portland Board ","HURST, Norman."
98,,"ALBANAS, Phriderikos.","DELOTES, I."
99,,,"PHILLIPS, T. "
100,,,"WARTON, Ferdinand Fullarton."
101,,Albert ,"PLIMSOLL, Joseph."
102,,,"DALTON, John Neale."
103,,"ALBERTI, Francesco Felice degli.","GAR, Tommaso."
104,,"ALBERTI, Johann Christoph Ludwig.","KONIJNENBURG, Jan."
105,,"ALBERTINI, Francesco degli.","SCHMARSOW, August."
106,,"ALBERTIS, Luigi Maria d'.","GOULD, John "
107,,"ALBERTRANDY, Jan Chrzciciel ","ONACEWICZ, Żegota."
108,,"ALBERTRANDY, Jan Chrzciciel ","ONACEWICZ, Żegota."
109,,,"COOKE, Thomas "
110,,,"COLVILL, Robert."
111,,"ALCEDO, Antonio de.","THOMPSON, George Alexander."
112,,,"CORNISH, Blanche Warre."
113,,,"SANDBACH, Margaret "
114,,,"Beckford, William"
115,,"ALCOCK, Mary ","HUGHES, Joanna."
116,,"ALDRICH, M. Almy.","COLLUM, Richard S."
117,,,"TABOR, afterwards STEPHENSON, Eliza."
118,,"Alexander, James Edward ","MITCHELL, C. C. "
119,,"Alexander, James Edward ","DUCATEL, Julius Timoleon."
120,,"ALEXANDER, William ","G., J."
121,,"Stirling, William Alexander ","ROGERS, Charles "
122,,"ALEXANDER, William ","DURAND, Armand "
123,,,"TUCKER, William W."
124,,,"SCHWARZENBERG, Friedrich von "
125,,,"CRAWFORD, Mabel Sharman."
126,,,"BARNARD, Sophia."
127,,,"HOBDAY, Edmund Arthur Ponsonby."
128,,"ALIS, Harry ","CRAMPEL, Paul."
129,,"ALIS, R. L.","TAMIZEY DE LARROQUE, Jacques Philippe."
130,,,"BUTT, Beatrice May."
131,,"ALISON, Archibald ","FORBES, William "
132,,"ALISON, Archibald ","JOHNSTON, Alexander Keith "
133,,"ALISON, Archibald ","GOULD, Edward Sherman "
134,,,"GRIFFEN, Annie M."
135,,,"SAYERS, James."
136,,"ALLAN, Francis ","EKAMA, C."
137,,"ALLAN, John ","KIDDER, Frederic."
138,,"ALLAN, William ","ROPES, John Codman."
139,,"ALLAN, William ","HOTCHKISS, Jed."
140,,"ALLEN, Carl Ferdinand.","BRUUN, Christian Walther."
141,,"ALLEN, Carl Ferdinand.","MARCKMANN, Jörgen Wilhelm."
142,,"ALLEN, Carl Ferdinand.","BEAUVOIS, Eugène."
143,,"ALLEN, Carl Ferdinand.","FALCK, Niels Nikolaus."
144,,"ALLEN, Carl Ferdinand.","BRUUN, Christian Walther."
145,,"Allen, Grant","FINNEMORE, Joseph "
146,,"ALLEN, Paul ","Washington, George"
147,,"ALLEN, Richard Lamb.","A., S. O."
148,,"ALLEN, Thomas ","WHITTOCK, Nathaniel."
149,,"ALLEN, Thomas Gaskell ","SACHTLEBEN, William Lewis."
150,,"ALLEN, William ","THOMSON, Thomas Richard Heywood."
151,,"ALLINGHAM, Hugh.","CRAWFORD, Robert "
152,,"ALMEIDA E MELLO, Americo Braziliense de.","LISBOA, José Maria."
153,,"ALMQVIST, Johan Magnus.","PETERSSON, Jacob."
154,,"ALOUIS, Victor.","HERVÉ, Louis."
155,,,"BRIDGES, George Wilson."
156,,,"FORBES, Murray "
157,,,"DEMPSTER, Charlotte Louisa Hawkins."
158,,,"SIDEY, James Archibald."
159,,"ALVA IXTLILXUCHITL, Fernando de.","CHAVERO, Alfredo."
160,,"ALVARADO, Pedro de.","LÓPEZ RAYÓN, Ignacio."
161,,"ALVARADO TEZOZOMOC, Fernando de.",TERNAUX
162,,"ALVARES D'ALMADA, André.","KOPKE, Diogo."
163,,"ÁLVAREZ, José Justo ","DURAN, Rafael."
164,,"ÁLVAREZ DE TOLEDO, Fernando ","GACHARD, Louis Prosper."
165,,,"ROSE, William Stewart."
166,,"AMANTE, Bruto.","ALDAY, Augustin Jacques Marc."
167,,"AMARI, Michele.","PERCY, Anne Barbara Isabel."
168,,,"BARTON, Bernard."
169,,"AMBERT, Joachim ","Louvois, François"
170,,,"CHEVALIER, Casimir."
171,,,"BOARDMAN, James "
172,,,"HODGINS, John George."
173,,,"SLIDELL, afterwards SLIDELL MACKENZIE, Alexander."
174,,,"SANDERSON, John "
175,,,"BIDDLE, Richard."
176,,,"WRIGHT, Hezekiah Hartley."
177,,,"BRUEN, Matthias."
178,,,"DWIGHT, Theodore "
179,,,"PICKERING, Henry "
180,,,"SLOAN, James."
181,,,"DE KAY, James Ellsworth."
182,,,"CAMPBELL, John Francis."
183,,,"SEALSFIELD, Charles."
184,,"Amery, L.S. (Leopold Stennett) ","CRUSO, Henry Alfred Anthony."
185,,"AMHURST, Nicholas.","BLUNT, John "
186,,"AMICIS, Edmondo de.","TILTON, Caroline."
187,,"AMICIS, Edmondo de.","TILTON, Caroline."
188,,"AMICIS, Edmondo de.","TILTON, Caroline."
