Country,11-04-21
ALA Aland Islands,51962
Afghanistan,97206
Albania,82493
Algeria,11770
American Samoa,21890
Andorra,936
Angola,2217783
Anguilla,181180
Antarctica,23083
Antigua and Barbuda,532539
Argentina,249013
Armenia,8837
Aruba,143889
Australia,572378
Austria,3587
Azerbaijan,325108
Bahamas,0
Bahrain,12106
Bangladesh,6452
Barbados,875
Belarus,230807
Belgium,139419
Belize,38203
Benin,11739649
Bermuda,206
Bhutan,285799
Bolivia,12593
Bosnia and Herzegovina,773
Botswana,2080
Bouvet Island,35261
Brazil,967364
British Indian Ocean Territory,17077
British Virgin Islands,5056
Brunei Darussalam,4286
Bulgaria,998400
Burkina Faso,96727
Burundi,2375176
Cambodia,3577
Cameroon,8208
Canada,25841
Cape Verde,194760
Cayman Islands,270964
Central African Republic,79958
Chad,39061
Chile,1448843
China,44197
Christmas Island,226659
Cocos (Keeling) Islands,7763
Colombia,159
Comoros,216020
Congo (Brazzaville),290314
Congo (Kinshasa),159054
Cook Islands,62340
Costa Rica,6799
Croatia,3166
Cuba,94206
Cyprus,169038
Czech Republic,64
Côte d'Ivoire,46000
Denmark,312540
Djibouti,17456
Dominica,5145
Dominican Republic,276711
Ecuador,2668910
Egypt,89092
El Salvador,93764
Equatorial Guinea,152
Eritrea,184758
Estonia,18473
Ethiopia,3059
Falkland Islands (Malvinas),9688
Faroe Islands,11447
Fiji,15
Finland,75553
France,423366
French Guiana,6126
French Polynesia,12081443
French Southern Territories,1409288
Gabon,1702062
Gambia,809663
Georgia,23364
Germany,825519
Ghana,3107069
Gibraltar,18785
Greece,458684
Greenland,588353
Grenada,284034
Guadeloupe,98605
Guam,100109
Guatemala,229846
Guernsey,85824
Guinea,47
Guinea-Bissau,98247
Guyana,402172
Haiti,4471
Heard and Mcdonald Islands,1899
Holy See (Vatican City State),152328
Honduras,2606
"Hong Kong, SAR China",205768
Hungary,59168
Iceland,115433
India,23481
Indonesia,31360
"Iran, Islamic Republic of",342737
Iraq,22429
Ireland,7101
Isle of Man,28610
Israel,4
Italy,17322
Jamaica,750
Japan,1765244
Jersey,1
Jordan,221968
Kazakhstan,2230
Kenya,8875
Kiribati,88144
Korea (North),488015
Korea (South),58383
Kuwait,131846
Kyrgyzstan,43555
Lao PDR,273886
Latvia,0
Lebanon,2440
Lesotho,4225
Liberia,4747
Libya,154098
Liechtenstein,17998
Lithuania,149969
Luxembourg,631700
"Macao, SAR China",231288
"Macedonia, Republic of",347898
Madagascar,846
Malawi,191614
Malaysia,1557779
Maldives,648220
Mali,2143065
Malta,784208
Marshall Islands,169086
Martinique,80344
Mauritania,902239
Mauritius,4209754
Mayotte,21072
Mexico,44
"Micronesia, Federated States of",4160
Moldova,1651
Monaco,2
Mongolia,4477
Montenegro,2179
Montserrat,382773
Morocco,38101
Mozambique,0
Myanmar,4091
Namibia,2828
Nauru,60322
Nepal,255300
Netherlands,207927
Netherlands Antilles,18
New Caledonia,5129
New Zealand,1482682
Nicaragua,10090
Niger,150376
Nigeria,91456
Niue,24214
Norfolk Island,8654
Northern Mariana Islands,16645
Norway,0
Oman,317600
Pakistan,13895
Palau,1020
Palestinian Territory,13218
Panama,183
Papua New Guinea,26873
Paraguay,443
Peru,9190
Philippines,7723
Pitcairn,224397
Poland,3301217
Portugal,40685
Puerto Rico,1454351
Qatar,466804
Republic of Kosovo,13494
Romania,0
Russian Federation,104434
Rwanda,82586
Réunion,1
Saint Helena,156472
Saint Kitts and Nevis,2429
Saint Lucia,2027
Saint Pierre and Miquelon,86813
Saint Vincent and Grenadines,34862
Saint-Barthélemy,
Saint-Martin (French part),
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Georgia and the South Sandwich Islands,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Svalbard and Jan Mayen Islands,
Swaziland,
Sweden,
Switzerland,
Syrian Arab Republic (Syria),
"Taiwan, Republic of China",
Tajikistan,
"Tanzania, United Republic of",
Thailand,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
US Minor Outlying Islands,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,
United States of America,
Uruguay,
Uzbekistan,
Vanuatu,
Venezuela (Bolivarian Republic),
Viet Nam,
"Virgin Islands, US",
Wallis and Futuna Islands,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
